country_iso2,country_name,farmed_animals_slaughtered_per_capita,aquaculture_pct_total_animal_production,wap_overall_score_risk,sentience_recognition_law_risk,meat_consumption_per_capita_kg,wap_delta_risk,plant_protein_ratio_risk,public_concern_risk,ngo_density_risk,political_salience_risk,ai_governance_aw_risk,ai_aw_research_risk,ai_sentience_research_risk,speciesist_bias_ratio,livestock_ai_patent_intensity,L1_score,L2_score,L3_score,AWPRI_score
AR,Argentina,0.4613,0.0473,0.75,1.0,0.9175,0.5,0.8667,0.7143,0.625,1.0,1.0,0.9214,0.9565,0.0,0.0786,0.6352,0.7412,0.5913,0.6559
AU,Australia,0.1554,0.0338,0.25,0.0,0.895,0.5,0.9,0.254,0.125,0.0,1.0,0.4286,0.6435,0.0,0.118,0.2668,0.3558,0.438,0.3535
BR,Brazil,0.6389,0.0878,0.75,0.5,0.6675,0.0,1.0,0.6349,0.5,0.5,1.0,0.8857,0.9391,0.0,0.0553,0.5288,0.527,0.576,0.5439
CA,Canada,0.1708,0.049,0.25,0.0,0.76,0.5,0.3333,0.1587,0.125,0.0,1.0,0.3643,0.4522,0.0,0.2556,0.246,0.2234,0.4144,0.2946
CN,China,0.4735,1.0,1.0,1.0,0.4808,0.5,0.5333,0.9524,1.0,1.0,1.0,0.8643,0.887,1.0,0.67,0.7909,0.7971,0.8843,0.8241
DE,Germany,0.2447,0.0,0.0,0.0,0.6842,0.0,0.1333,0.1111,0.0,0.0,0.0,0.4857,0.4174,0.0,0.2428,0.1858,0.0489,0.2292,0.1546
DK,Denmark,1.0,0.0693,0.25,0.0,0.7642,0.5,0.2667,0.127,0.125,0.0,0.0,0.1929,0.5043,0.0,1.0,0.4167,0.2037,0.3394,0.3199
ES,Spain,0.3311,0.1014,0.5,0.0,0.775,0.0,0.4667,0.4127,0.375,0.5,1.0,0.6714,0.7652,0.0,0.2434,0.3415,0.3509,0.536,0.4095
FR,France,0.1852,0.0693,0.25,0.0,0.6883,0.0,0.4333,0.3651,0.25,0.0,1.0,0.6357,0.5217,0.0,0.144,0.2386,0.2097,0.4603,0.3029
GB,United Kingdom,0.1446,0.0321,0.0,0.0,0.6267,0.0,0.1,0.0794,0.125,0.0,1.0,0.1786,0.2783,0.0,0.3204,0.1607,0.0609,0.3554,0.1923
IN,India,0.0,0.4882,0.75,1.0,0.0,0.5,0.5667,0.7778,0.625,0.5,1.0,0.9286,0.9565,0.0,0.2226,0.4476,0.5939,0.6215,0.5543
IT,Italy,0.1649,0.0608,0.5,0.0,0.6608,0.5,0.5,0.4762,0.375,0.5,1.0,0.6857,0.8,0.0,0.1413,0.2773,0.4702,0.5254,0.4243
JP,Japan,0.0878,0.5912,0.75,0.5,0.3917,0.5,0.6333,0.6825,0.375,0.5,0.0,0.7429,0.6435,0.0,0.466,0.4641,0.5382,0.3705,0.4576
KE,Kenya,0.0663,0.1537,0.75,1.0,0.11,0.5,0.6667,0.8889,0.625,1.0,1.0,0.9857,0.9913,0.0,0.1652,0.416,0.7361,0.6285,0.5935
KR,South Korea,0.1283,0.5473,0.75,0.5,0.4942,0.5,0.4,0.746,0.625,0.5,0.0,0.7143,0.6957,0.0,0.8518,0.4839,0.5542,0.4523,0.4968
MX,Mexico,0.1799,0.0997,0.5,0.5,0.495,0.0,0.6,0.6825,0.75,0.5,1.0,0.9357,0.9565,0.0,0.0542,0.3549,0.5065,0.5893,0.4836
NG,Nigeria,0.0159,0.2027,1.0,1.0,0.0367,0.5,0.7,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.451,0.79,0.6,0.6137
NL,Netherlands,0.5023,0.0152,0.0,0.0,0.6142,0.0,0.2333,0.0635,0.0,0.0,0.0,0.15,0.3304,0.0,0.6817,0.2263,0.0594,0.2324,0.1727
NZ,New Zealand,0.4985,0.022,0.25,0.0,0.8708,0.5,0.8333,0.2063,0.125,0.0,1.0,0.45,0.6087,0.0,0.7944,0.3283,0.3329,0.5706,0.4106
PL,Poland,0.4316,0.0034,0.5,0.5,0.6517,0.5,0.5667,0.5714,0.5,0.5,1.0,0.85,0.8696,0.0,0.2168,0.4173,0.5276,0.5873,0.5107
SE,Sweden,0.152,0.0929,0.0,0.0,0.6008,0.5,0.0,0.0,0.0,0.0,0.0,0.2786,0.4696,0.0,0.7848,0.1691,0.1,0.3066,0.1919
TH,Thailand,0.323,0.4291,1.0,1.0,0.2133,0.5,0.6333,0.8413,0.875,1.0,1.0,0.9143,0.9217,0.0,0.4384,0.5931,0.7699,0.6549,0.6726
US,United States of America,0.2299,0.0101,0.5,0.5,1.0,0.5,0.3,0.2063,0.125,0.5,1.0,0.0,0.0,0.0,0.3629,0.448,0.3263,0.2726,0.349
VN,Vietnam,0.4405,0.6436,1.0,1.0,0.2425,0.5,0.6,0.9206,1.0,1.0,1.0,0.9643,0.9739,0.0,0.2115,0.6653,0.8041,0.6299,0.6998
ZA,South Africa,0.08,0.0253,0.75,1.0,0.4025,1.0,0.8,0.7619,0.5,0.5,1.0,0.9071,0.9391,0.0,0.1217,0.4516,0.7124,0.5936,0.5859
