country_iso2,country_name,farmed_animals_slaughtered_per_capita,aquaculture_pct_total_animal_production,wap_overall_score_risk,sentience_recognition_law_risk,meat_consumption_per_capita_kg,wap_delta_risk,plant_protein_ratio_risk,public_concern_risk,ngo_density_risk,political_salience_risk,ai_governance_aw_risk,ai_aw_research_risk,ai_sentience_research_risk,speciesist_bias_ratio,livestock_ai_patent_intensity
AR,Argentina,228.7,6.0,5,1.0,114.2,0,0.004,67,3.0,1.0,1.0,12.899999999999999,5.5,0.0,0.019
AU,Australia,84.2,5.2,3,0.0,111.5,0,0.005,38,1.0,0.0,1.0,6.0,3.6999999999999997,0.0,0.0264
BR,Brazil,312.6,8.4,5,0.5,84.2,-1,0.008,62,2.5,0.5,1.0,12.399999999999999,5.3999999999999995,0.0,0.0146
CA,Canada,91.5,6.1,3,0.0,95.3,0,-0.012,32,1.0,0.0,1.0,5.1,2.5999999999999996,0.0,0.0523
CN,China,234.5,62.4,6,1.0,61.8,0,-0.006,82,4.5,1.0,1.0,12.1,5.1,28.5,0.1303
DE,Germany,126.4,3.2,2,0.0,86.2,-1,-0.018,29,0.5,0.0,0.5,6.799999999999999,2.4,0.0,0.0499
DK,Denmark,483.2,7.3,3,0.0,95.8,0,-0.014,30,1.0,0.0,0.5,2.6999999999999993,2.9,0.0,0.1924
ES,Spain,167.2,9.2,4,0.0,97.1,-1,-0.008,48,2.0,0.5,1.0,9.399999999999999,4.4,0.0,0.05
FR,France,98.3,7.3,3,0.0,86.7,-1,-0.009,45,1.5,0.0,1.0,8.899999999999999,3.0,0.0,0.0313
GB,United Kingdom,79.1,5.1,2,0.0,79.3,-1,-0.019,27,1.0,0.0,1.0,2.5,1.5999999999999996,0.0,0.0645
IN,India,10.8,32.1,5,1.0,4.1,0,-0.005,71,3.0,0.5,1.0,13.0,5.5,0.0,0.0461
IT,Italy,88.7,6.8,4,0.0,83.4,0,-0.007,52,2.0,0.5,1.0,9.6,4.6,0.0,0.0308
JP,Japan,52.3,38.2,5,0.5,51.1,0,-0.003,65,2.0,0.5,0.5,10.399999999999999,3.6999999999999997,0.0,0.0919
KE,Kenya,42.1,12.3,5,1.0,17.3,0,-0.002,78,3.0,1.0,1.0,13.799999999999999,5.7,0.0,0.0353
KR,South Korea,71.4,35.6,5,0.5,63.4,0,-0.01,69,3.0,0.5,0.5,10.0,4.0,0.0,0.1645
MX,Mexico,95.8,9.1,4,0.5,63.5,-1,-0.004,65,3.5,0.5,1.0,13.1,5.5,0.0,0.0144
NG,Nigeria,18.3,15.2,6,1.0,8.5,0,-0.001,85,3.5,1.0,1.0,14.0,5.75,0.0,0.0042
NL,Netherlands,248.1,4.1,2,0.0,77.8,-1,-0.015,26,0.5,0.0,0.5,2.0999999999999996,1.9,0.0,0.1325
NZ,New Zealand,246.3,4.5,3,0.0,108.6,0,0.003,35,1.0,0.0,1.0,6.299999999999999,3.5,0.0,0.1537
PL,Poland,214.7,3.4,4,0.5,82.3,0,-0.005,58,2.5,0.5,1.0,11.899999999999999,5.0,0.0,0.045
SE,Sweden,82.6,8.7,2,0.0,76.2,0,-0.022,22,0.5,0.0,0.5,3.8999999999999986,2.6999999999999997,0.0,0.1519
TH,Thailand,163.4,28.6,6,1.0,29.7,0,-0.003,75,4.0,1.0,1.0,12.799999999999999,5.3,0.0,0.0867
US,United States of America,119.4,3.8,4,0.5,124.1,0,-0.013,35,1.0,0.5,1.0,0.0,0.0,0.0,0.0725
VN,Vietnam,218.9,41.3,6,1.0,33.2,0,-0.004,80,4.5,1.0,1.0,13.5,5.6,0.0,0.044
ZA,South Africa,48.6,4.7,5,1.0,52.4,1,0.002,70,2.5,0.5,1.0,12.7,5.3999999999999995,0.0,0.0271
