country_iso2,country_name,AWPRI_score,L1_score,L2_score,L3_score
CN,China,0.8021,0.6268,0.8952,0.8843
VN,Vietnam,0.6119,0.5189,0.6371,0.6798
TH,Thailand,0.586,0.4025,0.5873,0.7682
BR,Brazil,0.5656,0.5615,0.4936,0.6418
AR,Argentina,0.5575,0.5692,0.4553,0.648
PL,Poland,0.518,0.4147,0.4527,0.6866
MX,Mexico,0.5126,0.4041,0.4652,0.6685
IN,India,0.5117,0.3639,0.4636,0.7077
ES,Spain,0.4939,0.4368,0.3917,0.6532
NZ,New Zealand,0.488,0.4727,0.3123,0.679
IT,Italy,0.4706,0.3976,0.3745,0.6397
KR,South Korea,0.4508,0.4365,0.2938,0.622
ZA,South Africa,0.4486,0.2794,0.4121,0.6543
JP,Japan,0.4418,0.4212,0.3808,0.5233
NG,Nigeria,0.4195,0.2511,0.4073,0.6
KE,Kenya,0.4181,0.2617,0.3432,0.6495
DK,Denmark,0.4122,0.5667,0.256,0.4139
FR,France,0.4036,0.3876,0.4271,0.3961
AU,Australia,0.3797,0.4181,0.3568,0.3643
DE,Germany,0.3532,0.3851,0.3227,0.3518
CA,Canada,0.3526,0.3747,0.3106,0.3725
NL,Netherlands,0.3485,0.4223,0.3002,0.3231
SE,Sweden,0.3449,0.3699,0.2765,0.3882
US,United States,0.3245,0.4472,0.3088,0.2175
GB,United Kingdom,0.3081,0.3499,0.3145,0.2598
