,importance
civil_liberties_risk,0.49156873942548845
ai_sentience_risk,0.2313189190892845
animal_rights_delta_risk,0.05220774860034279
civic_space_risk,0.05118884780649341
farmed_animals_per_capita,0.03895376658761318
ai_aw_research_risk,0.01913355769696968
public_concern_risk,0.018229714737985594
animal_rights_risk,0.01693708934162758
rule_of_law_risk,0.016856801087602742
patent_intensity,0.015995683934003257
meat_consumption_kg,0.014594009869268426
speciesist_bias_ratio,0.012596049538899274
ai_governance_risk,0.01043474808802489
aquaculture_pct,0.005859879768598935
plant_protein_risk,0.0041244444277973216
