country_iso2,awpri_2022,awpri_2030_forecast,change_2022_2030,trend
CN,0.8021,0.778,-0.0241,↓ IMPROVING
TH,0.586,0.647,0.061,↑ WORSENING
VN,0.6119,0.6027,-0.0092,↓ IMPROVING
BR,0.5656,0.5938,0.0282,↑ WORSENING
AR,0.5575,0.5874,0.0299,↑ WORSENING
MX,0.5126,0.5356,0.023,↑ WORSENING
IN,0.5117,0.5194,0.0077,↑ WORSENING
PL,0.518,0.5016,-0.0164,↓ IMPROVING
ES,0.4939,0.4987,0.0048,↑ WORSENING
NZ,0.488,0.494,0.006,↑ WORSENING
ZA,0.4486,0.4883,0.0397,↑ WORSENING
KR,0.4508,0.4796,0.0288,↑ WORSENING
IT,0.4706,0.4662,-0.0044,↓ IMPROVING
JP,0.4418,0.4286,-0.0132,↓ IMPROVING
KE,0.4181,0.4269,0.0088,↑ WORSENING
NG,0.4195,0.425,0.0055,↑ WORSENING
DK,0.4122,0.406,-0.0062,↓ IMPROVING
AU,0.3797,0.3845,0.0048,↑ WORSENING
FR,0.4036,0.3647,-0.0389,↓ IMPROVING
NL,0.3485,0.3319,-0.0166,↓ IMPROVING
DE,0.3532,0.331,-0.0222,↓ IMPROVING
US,0.3245,0.3222,-0.0023,↓ IMPROVING
SE,0.3449,0.321,-0.0239,↓ IMPROVING
CA,0.3526,0.3131,-0.0395,↓ IMPROVING
GB,0.3081,0.2787,-0.0294,↓ IMPROVING
