country_iso2,country_name,VAR_01_farmed_animals_slaughtered_per_capita,VAR_02_aquaculture_pct_total_animal_production,VAR_03_wap_overall_score_risk,VAR_04_sentience_recognition_law_risk,VAR_05_meat_consumption_per_capita_kg
AU,Australia,84.2,5.2,3,0.0,111.5
BR,Brazil,312.6,8.4,5,0.5,84.2
CA,Canada,91.5,6.1,3,0.0,95.3
FR,France,98.3,7.3,3,0.0,86.7
DE,Germany,126.4,3.2,2,0.0,86.2
IN,India,10.8,32.1,5,1.0,4.1
IT,Italy,88.7,6.8,4,0.0,83.4
JP,Japan,52.3,38.2,5,0.5,51.1
NL,Netherlands,248.1,4.1,2,0.0,77.8
NZ,New Zealand,246.3,4.5,3,0.0,108.6
KR,South Korea,71.4,35.6,5,0.5,63.4
ES,Spain,167.2,9.2,4,0.0,97.1
SE,Sweden,82.6,8.7,2,0.0,76.2
GB,United Kingdom,79.1,5.1,2,0.0,79.3
US,United States of America,119.4,3.8,4,0.5,124.1
AR,Argentina,228.7,6.0,5,1.0,114.2
CN,China,234.5,62.4,6,1.0,61.8
DK,Denmark,483.2,7.3,3,0.0,95.8
KE,Kenya,42.1,12.3,5,1.0,17.3
MX,Mexico,95.8,9.1,4,0.5,63.5
NG,Nigeria,18.3,15.2,6,1.0,8.5
PL,Poland,214.7,3.4,4,0.5,82.3
ZA,South Africa,48.6,4.7,5,1.0,52.4
TH,Thailand,163.4,28.6,6,1.0,29.7
VN,Vietnam,218.9,41.3,6,1.0,33.2
