country_iso2,country_name,VAR_11_ai_governance_aw_risk,VAR_12_ai_aw_research_per_million,VAR_13_ai_sentience_research_per_million,VAR_14_speciesist_bias_ratio,VAR_15_livestock_ai_patent_intensity
AU,Australia,1.0,8.2,2.1,0.0,0.0264
BR,Brazil,1.0,1.8,0.4,0.0,0.0146
CA,Canada,1.0,9.1,3.2,0.0,0.0523
FR,France,1.0,5.3,2.8,0.0,0.0313
DE,Germany,0.5,7.4,3.4,0.0,0.0499
IN,India,1.0,1.2,0.3,0.0,0.0461
IT,Italy,1.0,4.6,1.2,0.0,0.0308
JP,Japan,0.5,3.8,2.1,0.0,0.0919
NL,Netherlands,0.5,12.1,3.9,0.0,0.1325
NZ,New Zealand,1.0,7.9,2.3,0.0,0.1537
KR,South Korea,0.5,4.2,1.8,0.0,0.1645
ES,Spain,1.0,4.8,1.4,0.0,0.05
SE,Sweden,0.5,10.3,3.1,0.0,0.1519
GB,United Kingdom,1.0,11.7,4.2,0.0,0.0645
US,United States of America,1.0,14.2,5.8,0.0,0.0725
AR,Argentina,1.0,1.3,0.3,0.0,0.019
CN,China,1.0,2.1,0.7,28.5,0.1303
DK,Denmark,0.5,11.5,2.9,0.0,0.1924
KE,Kenya,1.0,0.4,0.1,0.0,0.0353
MX,Mexico,1.0,1.1,0.3,0.0,0.0144
NG,Nigeria,1.0,0.2,0.05,0.0,0.0042
PL,Poland,1.0,2.3,0.8,0.0,0.045
ZA,South Africa,1.0,1.5,0.4,0.0,0.0271
TH,Thailand,1.0,1.4,0.5,0.0,0.0867
VN,Vietnam,1.0,0.7,0.2,0.0,0.044
