country_iso2,country_name,year,VAR_06_animal_rights_delta_risk,VAR_07_plant_protein_ratio_risk,VAR_08_public_concern_risk,VAR_09_civic_space_risk,VAR_10_civil_liberties_risk
AU,Australia,2004,-0.0,0.6622,38,0.1278,0.048
AU,Australia,2005,-0.0,0.6653,38,0.1278,0.048
AU,Australia,2006,-0.0,0.6684,38,0.1278,0.048
AU,Australia,2007,-0.0,0.6716,38,0.1278,0.048
AU,Australia,2008,-0.0,0.6747,38,0.1278,0.046
AU,Australia,2009,-0.0,0.6778,38,0.1278,0.046
AU,Australia,2010,-0.0,0.6809,38,0.1278,0.047
AU,Australia,2011,-0.0,0.7029,38,0.1278,0.047
AU,Australia,2012,-0.0,0.6974,38,0.1278,0.047
AU,Australia,2013,-0.0,0.6903,38,0.1622,0.059
AU,Australia,2014,-0.0,0.6966,38,0.1622,0.058
AU,Australia,2015,-0.0,0.7003,38,0.1622,0.058
AU,Australia,2016,-0.0,0.7019,38,0.1622,0.056
AU,Australia,2017,-0.0,0.6924,38,0.1622,0.069
AU,Australia,2018,-0.0,0.6942,38,0.1622,0.069
AU,Australia,2019,-0.0,0.6708,38,0.2126,0.079
AU,Australia,2020,-0.0,0.6748,38,0.1957,0.077
AU,Australia,2021,-0.0,0.6575,38,0.1723,0.087
AU,Australia,2022,-0.0,0.646,38,0.1723,0.079
BR,Brazil,2004,-0.0,0.4993,62,0.157,0.164
BR,Brazil,2005,-0.0,0.5091,62,0.157,0.133
BR,Brazil,2006,-0.0,0.519,62,0.157,0.132
BR,Brazil,2007,-0.0,0.5289,62,0.157,0.132
BR,Brazil,2008,-0.0,0.5388,62,0.157,0.132
BR,Brazil,2009,-0.0,0.5487,62,0.157,0.132
BR,Brazil,2010,-0.0,0.5586,62,0.1465,0.132
BR,Brazil,2011,-0.0,0.5719,62,0.161,0.132
BR,Brazil,2012,-0.0,0.5821,62,0.161,0.133
BR,Brazil,2013,-0.0,0.5882,62,0.1663,0.135
BR,Brazil,2014,-0.0,0.5958,62,0.1663,0.135
BR,Brazil,2015,-0.001,0.6058,62,0.1663,0.138
BR,Brazil,2016,-0.011,0.6007,62,0.2392,0.162
BR,Brazil,2017,-0.0,0.6059,62,0.2392,0.179
BR,Brazil,2018,-0.0,0.6126,62,0.2424,0.215
BR,Brazil,2019,-0.033,0.6367,62,0.2424,0.305
BR,Brazil,2020,0.013,0.6353,62,0.2177,0.317
BR,Brazil,2021,-0.008,0.6302,62,0.2177,0.334
BR,Brazil,2022,-0.004,0.6301,62,0.2033,0.329
CA,Canada,2004,-0.0,0.5891,32,0.2442,0.066
CA,Canada,2005,-0.0,0.5863,32,0.2442,0.066
CA,Canada,2006,-0.0,0.5835,32,0.2442,0.067
CA,Canada,2007,-0.0,0.5807,32,0.2442,0.065
CA,Canada,2008,-0.0,0.5778,32,0.2442,0.065
CA,Canada,2009,-0.0,0.575,32,0.2442,0.065
CA,Canada,2010,-0.0,0.5722,32,0.2442,0.065
CA,Canada,2011,-0.0,0.5707,32,0.2442,0.065
CA,Canada,2012,-0.0,0.561,32,0.2442,0.064
CA,Canada,2013,-0.0,0.5637,32,0.2442,0.059
CA,Canada,2014,-0.0,0.5873,32,0.2442,0.061
CA,Canada,2015,-0.0,0.5964,32,0.2442,0.061
CA,Canada,2016,-0.0,0.5664,32,0.2442,0.062
CA,Canada,2017,-0.0,0.5594,32,0.2443,0.069
CA,Canada,2018,-0.0,0.5909,32,0.2443,0.07
CA,Canada,2019,0.011,0.5911,32,0.1853,0.068
CA,Canada,2020,-0.038,0.5948,32,0.2283,0.069
CA,Canada,2021,-0.034,0.6018,32,0.2283,0.068
CA,Canada,2022,-0.025,0.6003,32,0.2283,0.094
FR,France,2004,-0.0,0.6701,45,0.1439,0.047
FR,France,2005,-0.0,0.6685,45,0.1439,0.047
FR,France,2006,-0.0,0.6669,45,0.1439,0.047
FR,France,2007,-0.0,0.6653,45,0.1439,0.047
FR,France,2008,-0.0,0.6637,45,0.1439,0.047
FR,France,2009,-0.0,0.6622,45,0.1439,0.047
FR,France,2010,-0.0,0.6606,45,0.1439,0.047
FR,France,2011,-0.0,0.6595,45,0.1439,0.047
FR,France,2012,0.002,0.6545,45,0.1439,0.049
FR,France,2013,-0.0,0.6558,45,0.1439,0.049
FR,France,2014,-0.0,0.6561,45,0.1534,0.052
FR,France,2015,-0.0,0.6497,45,0.1534,0.055
FR,France,2016,-0.0,0.6514,45,0.1534,0.055
FR,France,2017,-0.0,0.6436,45,0.1534,0.053
FR,France,2018,-0.0,0.646,45,0.1534,0.054
FR,France,2019,-0.029,0.6623,45,0.1289,0.058
FR,France,2020,0.021,0.6589,45,0.1823,0.085
FR,France,2021,-0.024,0.6511,45,0.1823,0.084
FR,France,2022,0.029,0.6584,45,0.2175,0.081
DE,Germany,2004,-0.0,0.6393,29,0.1518,0.032
DE,Germany,2005,-0.0,0.6388,29,0.1518,0.032
DE,Germany,2006,-0.0,0.6383,29,0.1518,0.031
DE,Germany,2007,-0.0,0.6378,29,0.1518,0.031
DE,Germany,2008,-0.0,0.6373,29,0.1518,0.031
DE,Germany,2009,-0.0,0.6369,29,0.1518,0.032
DE,Germany,2010,-0.0,0.6364,29,0.1518,0.032
