country_iso2,country_name,year,VAR_11_ai_governance_aw_risk,VAR_12_ai_aw_research_per_million,VAR_13_ai_sentience_research_per_million,VAR_14_speciesist_bias_ratio,VAR_15_livestock_ai_patent_intensity
AU,Australia,2004,1.0,0.6626,0.1697,42.77,0.000993
AU,Australia,2005,1.0,0.762,0.1951,41.405,0.001191
AU,Australia,2006,1.0,0.8763,0.2244,40.04,0.001429
AU,Australia,2007,1.0,1.0077,0.2581,38.675,0.001715
AU,Australia,2008,1.0,1.1589,0.2968,37.31,0.002058
AU,Australia,2009,1.0,1.3327,0.3413,35.945,0.00247
AU,Australia,2010,1.0,1.5326,0.3925,34.58,0.002964
AU,Australia,2011,1.0,1.7625,0.4514,33.215,0.003556
AU,Australia,2012,1.0,2.0269,0.5191,31.85,0.004268
AU,Australia,2013,1.0,2.331,0.597,30.485,0.005121
AU,Australia,2014,1.0,2.6806,0.6865,29.12,0.006145
AU,Australia,2015,1.0,3.0827,0.7895,27.755,0.007374
AU,Australia,2016,1.0,3.5451,0.9079,26.39,0.008849
AU,Australia,2017,1.0,4.0768,1.0441,25.025,0.010619
AU,Australia,2018,1.0,4.6884,1.2007,23.66,0.012743
AU,Australia,2019,0.5,5.3916,1.3808,22.295,0.015292
AU,Australia,2020,0.5,6.2004,1.5879,20.93,0.01835
AU,Australia,2021,0.5,7.1304,1.8261,19.565,0.02202
AU,Australia,2022,0.5,8.2,2.1,18.2,0.026424
BR,Brazil,2004,1.0,0.1454,0.0323,29.375,0.000548
BR,Brazil,2005,1.0,0.1673,0.0372,28.4375,0.000657
BR,Brazil,2006,1.0,0.1924,0.0427,27.5,0.000789
BR,Brazil,2007,1.0,0.2212,0.0492,26.5625,0.000946
BR,Brazil,2008,1.0,0.2544,0.0565,25.625,0.001136
BR,Brazil,2009,1.0,0.2926,0.065,24.6875,0.001363
BR,Brazil,2010,1.0,0.3364,0.0748,23.75,0.001636
BR,Brazil,2011,1.0,0.3869,0.086,22.8125,0.001963
BR,Brazil,2012,1.0,0.4449,0.0989,21.875,0.002355
BR,Brazil,2013,1.0,0.5117,0.1137,20.9375,0.002826
BR,Brazil,2014,1.0,0.5884,0.1308,20.0,0.003391
BR,Brazil,2015,1.0,0.6767,0.1504,19.0625,0.00407
BR,Brazil,2016,1.0,0.7782,0.1729,18.125,0.004884
BR,Brazil,2017,1.0,0.8949,0.1989,17.1875,0.00586
BR,Brazil,2018,1.0,1.0292,0.2287,16.25,0.007032
BR,Brazil,2019,1.0,1.1835,0.263,15.3125,0.008439
BR,Brazil,2020,1.0,1.3611,0.3025,14.375,0.010127
BR,Brazil,2021,1.0,1.5652,0.3478,13.4375,0.012152
BR,Brazil,2022,1.0,1.8,0.4,12.5,0.014583
CA,Canada,2004,1.0,0.7353,0.2586,51.935,0.001966
CA,Canada,2005,1.0,0.8456,0.2974,50.2775,0.002359
CA,Canada,2006,1.0,0.9725,0.342,48.62,0.002831
CA,Canada,2007,1.0,1.1183,0.3933,46.9625,0.003397
CA,Canada,2008,1.0,1.2861,0.4523,45.305,0.004076
CA,Canada,2009,1.0,1.479,0.5201,43.6475,0.004892
CA,Canada,2010,1.0,1.7009,0.5981,41.99,0.00587
CA,Canada,2011,1.0,1.956,0.6878,40.3325,0.007044
CA,Canada,2012,1.0,2.2494,0.791,38.675,0.008453
CA,Canada,2013,1.0,2.5868,0.9096,37.0175,0.010143
CA,Canada,2014,1.0,2.9748,1.0461,35.36,0.012172
CA,Canada,2015,1.0,3.421,1.203,33.7025,0.014606
CA,Canada,2016,1.0,3.9342,1.3834,32.045,0.017527
CA,Canada,2017,0.5,4.5243,1.591,30.3875,0.021033
CA,Canada,2018,0.5,5.203,1.8296,28.73,0.025239
CA,Canada,2019,0.5,5.9834,2.1041,27.0725,0.030287
CA,Canada,2020,0.5,6.8809,2.4197,25.415,0.036345
CA,Canada,2021,0.5,7.913,2.7826,23.7575,0.043614
CA,Canada,2022,0.5,9.1,3.2,22.1,0.052336
FR,France,2004,1.0,0.4283,0.2263,45.355,0.001174
FR,France,2005,1.0,0.4925,0.2602,43.9075,0.001409
FR,France,2006,1.0,0.5664,0.2992,42.46,0.001691
FR,France,2007,1.0,0.6513,0.3441,41.0125,0.002029
FR,France,2008,1.0,0.749,0.3957,39.565,0.002435
FR,France,2009,1.0,0.8614,0.4551,38.1175,0.002922
FR,France,2010,1.0,0.9906,0.5233,36.67,0.003506
FR,France,2011,1.0,1.1392,0.6018,35.2225,0.004208
FR,France,2012,1.0,1.3101,0.6921,33.775,0.005049
FR,France,2013,1.0,1.5066,0.7959,32.3275,0.006059
FR,France,2014,1.0,1.7326,0.9153,30.88,0.007271
FR,France,2015,1.0,1.9925,1.0526,29.4325,0.008725
FR,France,2016,1.0,2.2913,1.2105,27.985,0.01047
FR,France,2017,1.0,2.635,1.3921,26.5375,0.012564
FR,France,2018,0.5,3.0303,1.6009,25.09,0.015076
FR,France,2019,0.5,3.4848,1.841,23.6425,0.018092
FR,France,2020,0.5,4.0076,2.1172,22.195,0.02171
FR,France,2021,0.5,4.6087,2.4348,20.7475,0.026052
FR,France,2022,0.5,5.3,2.8,19.3,0.031262
DE,Germany,2004,1.0,0.598,0.2747,41.83,0.001872
DE,Germany,2005,1.0,0.6877,0.3159,40.495,0.002247
DE,Germany,2006,1.0,0.7908,0.3633,39.16,0.002696
DE,Germany,2007,1.0,0.9094,0.4178,37.825,0.003236
DE,Germany,2008,1.0,1.0458,0.4805,36.49,0.003883
DE,Germany,2009,1.0,1.2027,0.5526,35.155,0.004659
DE,Germany,2010,1.0,1.3831,0.6355,33.82,0.005591
DE,Germany,2011,1.0,1.5906,0.7308,32.485,0.006709
DE,Germany,2012,1.0,1.8292,0.8404,31.15,0.008051
DE,Germany,2013,1.0,2.1035,0.9665,29.815,0.009661
DE,Germany,2014,1.0,2.4191,1.1115,28.48,0.011594
DE,Germany,2015,1.0,2.7819,1.2782,27.145,0.013912
DE,Germany,2016,1.0,3.1992,1.4699,25.81,0.016695
DE,Germany,2017,1.0,3.6791,1.6904,24.475,0.020034
DE,Germany,2018,0.5,4.231,1.944,23.14,0.02404
DE,Germany,2019,0.5,4.8656,2.2356,21.805,0.028848
DE,Germany,2020,0.5,5.5955,2.5709,20.47,0.034618
DE,Germany,2021,0.5,6.4348,2.9565,19.135,0.041542
DE,Germany,2022,0.5,7.4,3.4,17.8,0.04985
IN,India,2004,1.0,0.097,0.0242,33.37,0.001731
IN,India,2005,1.0,0.1115,0.0279,32.305,0.002077
IN,India,2006,1.0,0.1282,0.0321,31.24,0.002493
IN,India,2007,1.0,0.1475,0.0369,30.175,0.002991
IN,India,2008,1.0,0.1696,0.0424,29.11,0.003589
IN,India,2009,1.0,0.195,0.0488,28.045,0.004307
IN,India,2010,1.0,0.2243,0.0561,26.98,0.005169
IN,India,2011,1.0,0.2579,0.0645,25.915,0.006202
IN,India,2012,1.0,0.2966,0.0742,24.85,0.007443
IN,India,2013,1.0,0.3411,0.0853,23.785,0.008931
IN,India,2014,1.0,0.3923,0.0981,22.72,0.010718
IN,India,2015,1.0,0.4511,0.1128,21.655,0.012861
IN,India,2016,1.0,0.5188,0.1297,20.59,0.015434
IN,India,2017,1.0,0.5966,0.1492,19.525,0.01852
IN,India,2018,1.0,0.6861,0.1715,18.46,0.022224
IN,India,2019,1.0,0.789,0.1973,17.395,0.026669
IN,India,2020,1.0,0.9074,0.2268,16.33,0.032003
IN,India,2021,1.0,1.0435,0.2609,15.265,0.038404
IN,India,2022,1.0,1.2,0.3,14.2,0.046084
IT,Italy,2004,1.0,0.3717,0.097,39.715,0.001159
IT,Italy,2005,1.0,0.4275,0.1115,38.4475,0.00139
IT,Italy,2006,1.0,0.4916,0.1282,37.18,0.001668
IT,Italy,2007,1.0,0.5653,0.1475,35.9125,0.002002
IT,Italy,2008,1.0,0.6501,0.1696,34.645,0.002402
